Carimbo de data/hora,Qual a sua idade?,Qual a sua formação acadêmica?,Qual o seu maior grau de escolaridade?,Por quanto tempo você estudou (ou tem estudado) em universidade?,Qual é o seu cargo/posição atualmente?,Por quanto tempo você tem exercido este cargo/posição?,Quanto tempo de experiência você tem com modelagem de software?,Quanto tempo de experiência com desenvolvimento de software você tem?,Em qual empresa você trabalha atualmente?,Quanto ao uso de UML nas empresas [O uso de UML em empresas é universal],Quanto ao uso de UML nas empresas [UML não é ainda universalmente aceita como linguagem de modelagem padrão em projetos de desenvolvimento de software dirigido por modelos],Quanto ao uso de UML nas empresas [Modelos UML ajudam durante discussões sobre como integrar aplicações],Quanto ao uso de UML nas empresas [O ganho de produtividade com a geração de código de modelos UML tende a ser mais vantajoso que integrar código ],Quanto ao uso de UML nas empresas [A geração de código de modelos UML está crescendo],"Quanto ao uso de UML nas empresas [Não existe um ""papel"" (e.x., programador, analista, etc) que particularmente exija o uso de UML ]","Quanto ao uso de UML nas empresas [A UML ajuda profissionais com pouca habilidade de comunicação em um língua (e.x., inglês) a discutir idéias e decisões de projeto]","Quanto ao uso de UML nas empresas [A UML ajuda na formação de um entendimento único entre os desenvolvedores, eliminando entendimento conflitantes]",Quanto ao uso de UML nas empresas [O custo de promover o correto entendimento entre diferentes pessoas com diferentes níveis de formação/experiência e formas de pensar é alto],"Quanto ao uso de UML nas empresas [Desenvolvedores estão usando a UML cada vez menos, pois usá-la dificulta a comunicação entre as pessoas; exceto quando usada de forma simplificada/informal]","Quanto ao uso de UML nas empresas [UML tende a ser utilizada ou na fase de projeto ou na fase de implementação, nunca em ambas]","Quanto ao uso de UML nas empresas [As diferentes formas de utilizar a UML são as possíveis causadoras dos problemas de interpretação, visto que a UML não tem uma semântica formal]",Quanto ao uso de UML nas empresas [Quem utiliza UML durante a fase de projeto tende a utilizá-la de forma seletiva e informal],"Quanto ao uso de UML nas empresas [As empresas tendem a desenvolver software relativamente pequeno que passa por continua modificação. Desenvolvedores passam a guardar as decisões de projeto ""na mente"" e a se comunicarem efetivamente sem qualquer diagrama formal ]","Quanto ao uso de UML nas empresas [O desenvolvedor tende a usar a UML para expressar abstrações e os casos mais críticos. Porém eles param de usá-la quando começam a pensar mais concretamente, especialmente quando estão implementando]","Quanto ao uso de UML nas empresas [A UML passa a ser confusa e complexa devido ao elevado número de diagramas, à dificuldade de verificar a consistência dos modelos, à dificuldade de verificar a completude dos modelos, ao desafio de sincronizar os modelos]","Quanto ao uso de UML nas empresas [Usar a UML seletivamente (apenas alguns diagramas) ajuda a minimizar a complexidade, evitar problemas de completude e inconsistência entre os diagramas]",Quanto ao uso de UML nas empresas [A utilidade da UML para os profissionais da indústria surge do fato de adaptar o seu uso para um propósito específico],"Quanto ao uso de UML nas empresas [Profissionais criticam a UML por sua complexidade, falta de uma semântica formal, probabilidade de inconsistência entre os modelos e problemas de sincronização entre os modelos]","Quanto ao uso de UML nas empresas [Um dos principais motivos de não se utilizar UML é que ele não é apenas uma notação, mas uma ideologia]",Quanto ao uso de UML nas empresas [UML é essencialmente um linguagem (ou idéia) acadêmica],"Quanto ao uso de UML nas empresas [Representar aspectos estruturais (e.x., em diag. de classes) e comportamentais (em diagrama de sequência) dificulta a compreensão geral do sistema]","Quanto ao uso de UML nas empresas [Os diagramas UML representam visões complementares do sistema, mantê-los sincronizados representa um dos fatores que dificultam o uso da UML em empresas]",Quanto ao uso de UML nas empresas [As ferramentas de modelagem UML não são usuais],Quanto ao uso de UML nas empresas [Se a UML tivesse mais formalismo os desenvolvedores passariam a utilizá-la com mais frequência],Quanto ao uso de UML nas empresas [A UML não atende as necessidades que os projetos de desenvolvimento de software apresentam],"Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Os modelos UML não são perfeitamente compreendidos por todos stakeholders (tais como, cliente, desenvolvedores, arquitetors, etc.) envolvidos durante o desenvolvimento]",Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Os diagramas UML não atendem as necessidades de representação encontradas pelos desenvolvedores],"Por que os desenvolvedores tendem a não utilizar UML nas empresas? [O curto espaço de tempo para desenvolver leva os desenvolvedores a não utilizarem os modelos, focando apenas no código]",Por que os desenvolvedores tendem a não utilizar UML nas empresas? [As ferramentas de modelagem não são “amigáveis”],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [A falta de padrões de modelagem que guiem os desenvolvedores com boas práticas de como representar os modelos],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [A UML não atende as todas as necessidades de representação encontradas na prática],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Desenvolvedores não gostam de modelar],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Não é possível saber o grau de abstração dos modelos representados],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Dificuldade de criar um “modelo geral” de forma fácil],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [É difícil garantir a consistência entre os vários modelos criados],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Alto esforço deve ser investido para criar e manter os modelos],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [O retorno do investimento para criação dos modelos não é  mensurável ou percebido],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [A cultura da empresa afeta a forma como a UML é utilizada],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [A falta de ferramenta que dê suporte a modelagem colaborativa],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Dificuldade de avaliar a qualidade dos modelos criados],Por que os desenvolvedores tendem a não utilizar UML nas empresas? [Tem-se a impressão que a UML foi criada para uso acadêmico e não prático],"O uso de UML pode aumentar com as melhorias abaixo [Diagramas orientados a funcionalidades, e não diagramas gerais]",O uso de UML pode aumentar com as melhorias abaixo [Diagramas gerais (“Big Picture”) sendo obtidos automaticamente de diagramas orientados a funcionalidade],O uso de UML pode aumentar com as melhorias abaixo [Diagramas completamente sincronizados com o código e vice-versa],"O uso de UML pode aumentar com as melhorias abaixo [Ferramenta de modelagem que suporte o desenvolvimento colaborativo, permitindo que desenvolvedores tenham consciência das modificações que os desenvolvedores estão realizando em tempo de execução, algo como o Google Docs]",Como UML é utilizada onde você trabalha?,Qual a principal dificuldade de utilizar UML?,Quando o uso de UML vale a pena?,Você utiliza UML no seu dia a dia?
2013/06/27 7:23:05 PM GMT-4,22,Análise de Sistemas,Graduação,de 2 a 4 anos,Supervisor (N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/06/27 7:26:33 PM GMT-4,27,Análise de Sistemas,Graduano,de 7 a 8 anos,Analista,de 7 a 8 anos,de 3 a 4 anos,de 7 a 8 anos,GETNET TECNOLOGIA,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Concordo Totalmente,Discordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Discordo Totalmente,Discordo Totalmente,Neutro,Neutro,Discordo Parcialmente,Discordo Totalmente,Discordo Totalmente,Concordo completamente,Concordo parcialmente,Concordo completamente,Discordo parcialmente,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Concordo parcialmente,Neutro,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Neutro,Concordo completamente,Concordo completamente,Neutro,Neutro,"é usado para representações de alto nível, utiliza-se diagrama de sequencia, atividade casos de uso, e deploy,",A principal dificuldade é padrão de utilização,Para representar fluxos complexos,Não
2013/06/27 7:32:02 PM GMT-4,22,Análise de Sistemas,Graduação,de 2 a 4 anos,Supervisor (Nao atuo na area),menos de 2 anos,menos de 2 anos,menos de 2 anos,CX,Discordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Discordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Totalmente,Discordo Parcialmente,Concordo Parcialmente,Neutro,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Totalmente,Discordo Parcialmente,Discordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Discordo Parcialmente,Discordo Parcialmente,Concordo Parcialmente,Concordo completamente,Concordo parcialmente,Concordo completamente,Concordo completamente,Concordo completamente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo completamente,Discordo parcialmente,Concordo completamente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Neutro,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Concordo parcialmente,Não utilizamos,Tempo dispendido.,Em projetos grandes e com grande nivel de complexidade.,Não
2013/06/27 7:35:49 PM GMT-4,22,Análise de Sistemas,Graduação,de 5 a 6 anos,Analista,de 5 a 6 anos,de 5 a 6 anos,de 5 a 6 anos,SAP,Concordo Parcialmente,Discordo Parcialmente,Concordo Totalmente,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Concordo Totalmente,Discordo Parcialmente,Discordo Parcialmente,Neutro,Discordo Parcialmente,Discordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Discordo Totalmente,Discordo Totalmente,Discordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Neutro,Discordo Parcialmente,Discordo parcialmente,Discordo completamente,Concordo parcialmente,Neutro,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Discordo parcialmente,Discordo completamente,Concordo completamente,Concordo completamente,Concordo parcialmente,Concordo completamente,Concordo completamente,Concordo parcialmente,Neutro,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,"- Utilizamos UML principalmente na elaboração da arquitetura, mas não em sua plenitude, sendo que alguns diagramas são adaptados para a realidade da empresa.
- Durante o desenvolvimento, os diagramas são alterados com base em eventuais mudanças arquiteturais.","- O maior problema é o custo de manter os diagramas conforme o sistema vai se modificando.
- Além disso, ainda é difícil manter forte uma cultura de manutenção e atualização dos modelos.","- Entendo que a UML tem um poder semântico muito forte, o que favorece seu uso na elaboração da arquitetura, bem como na construção do sistema.
- Do ponto de vista de manutenção, acho que algumas melhorias seriam necessárias para que os diagramas proporcionassem uma figura melhor do big picture, permitindo identificar mais rapidamente questões relevantes como impacto e pontos passíveis de atenção.",Sim
2013/06/27 7:41:44 PM GMT-4,20,Análise de Sistemas,graduando,de 2 a 4 anos,Analista,de 3 a 4 anos,de 3 a 4 anos,de 3 a 4 anos,SAP,Discordo Parcialmente,Discordo Totalmente,Concordo Parcialmente,Discordo Parcialmente,Concordo Parcialmente,Discordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Discordo Totalmente,Discordo Totalmente,Discordo Parcialmente,Concordo Totalmente,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Totalmente,Neutro,Concordo Totalmente,Discordo Parcialmente,Concordo Totalmente,Concordo Parcialmente,Discordo Totalmente,Concordo Parcialmente,Discordo parcialmente,Discordo parcialmente,Concordo completamente,Concordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo completamente,Neutro,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Neutro,Concordo completamente,Concordo completamente,Discordo parcialmente,Concordo completamente,Concordo completamente,Concordo parcialmente,"A UML é utilizada de forma complementar na documentação da arquitetura e requisitos. Ela é utilizada apenas para a modelagem inicial, porém não é mantida após as manutenções.",Mantenimento dos diagramas durante o desenvolvimento.,Quando não há muitas alterações no software ou quando o cliente precisa compreender a ferramenta antes do desenvolvimento.,Não
2013/06/27 7:41:50 PM GMT-4,24,Ciência da Computação,Graduando,de 5 a 6 anos,Analista,de 3 a 4 anos,de 3 a 4 anos,mais de 8 anos,Ivirtua,Discordo Totalmente,Discordo Parcialmente,Concordo Parcialmente,Neutro,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Neutro,Concordo Totalmente,Neutro,Concordo Parcialmente,Discordo Totalmente,Neutro,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Parcialmente,Concordo Parcialmente,Discordo Parcialmente,Discordo Totalmente,Discordo Parcialmente,Discordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Discordo Parcialmente,Neutro,Discordo parcialmente,Discordo parcialmente,Concordo parcialmente,Concordo parcialmente,Neutro,Neutro,Concordo parcialmente,Concordo completamente,Concordo completamente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Discordo parcialmente,Concordo completamente,Concordo completamente,Concordo completamente,Concordo completamente,Apenas quando solicitado pelo cliente para justificar o custo de alguma implementação,Sincronizar o fonte com os diagramas,Para modelar partes complexas e quando contribui para o desenvolvimento do sistema,Não
2013/06/27 7:42:59 PM GMT-4,26,Ciência da Computação,Graduando,mais de 8 anos,Programador,de 5 a 6 anos,de 3 a 4 anos,de 5 a 6 anos,Dataweb Tecnologia,Discordo Parcialmente,Concordo Parcialmente,Neutro,Concordo Parcialmente,Neutro,Discordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Neutro,Discordo Parcialmente,Discordo Totalmente,Neutro,Concordo Parcialmente,Neutro,Concordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Neutro,Discordo Parcialmente,Discordo Totalmente,Discordo Totalmente,Concordo Parcialmente,Discordo Parcialmente,Discordo Parcialmente,Discordo Parcialmente,Neutro,Discordo parcialmente,Concordo completamente,Discordo parcialmente,Neutro,Discordo parcialmente,Concordo completamente,Neutro,Concordo parcialmente,Concordo parcialmente,Concordo completamente,Discordo parcialmente,Concordo completamente,Concordo parcialmente,Concordo parcialmente,Neutro,Concordo parcialmente,Concordo parcialmente,Concordo completamente,Concordo completamente,Não é utilizada.,Tempo e cultura da empresa.,"Quando chega a requisição mudança no código.
Facilita o entendimento do que deve ser feito, e onde.
",Não
2013/06/28 11:09:43 AM GMT-4,28,Análise de Sistemas,Graduando,de 2 a 4 anos,Operador de Informática,menos de 2 anos,menos de 2 anos,menos de 2 anos,Prefeitura Municipal de São Leopoldo,Neutro,Neutro,Concordo Parcialmente,Concordo Totalmente,Discordo Parcialmente,Discordo Totalmente,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Discordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Parcialmente,Neutro,Concordo Parcialmente,Concordo Totalmente,Discordo Parcialmente,Discordo Parcialmente,Discordo Parcialmente,Concordo completamente,Discordo parcialmente,Concordo completamente,Concordo parcialmente,,Concordo parcialmente,Concordo completamente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo completamente,Concordo parcialmente,Concordo completamente,Concordo completamente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo completamente,Concordo parcialmente,Não é utilizada.,,,Não
2013/06/28 3:14:37 PM GMT-4,29,Comunicação,Graduação,de 2 a 4 anos,Programador,de 7 a 8 anos,de 3 a 4 anos,mais de 8 anos,HCL,Discordo Totalmente,Concordo Totalmente,Concordo Totalmente,Neutro,Neutro,Neutro,Neutro,Neutro,,Neutro,,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Não é.,não utilizamos.,-,Não
2013/06/28 3:21:57 PM GMT-4,29,Administração - Gestão de TI,Graduação,de 5 a 6 anos,Programador,de 7 a 8 anos,mais de 8 anos,mais de 8 anos,,Concordo Parcialmente,Concordo Parcialmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Neutro,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Neutro,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Totalmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Concordo Parcialmente,Neutro,Concordo Parcialmente,Neutro,Neutro,Neutro,Concordo parcialmente,Concordo parcialmente,Concordo completamente,Concordo parcialmente,Neutro,Neutro,Concordo parcialmente,Neutro,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Neutro,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Neutro,Concordo parcialmente,Concordo parcialmente,,,,Não
